"","file","kw","kw.sub","ref"
"109","Bentahila, 1991. Standards for Arabic - One, Two or Many?.md","standard-language",NA,"Bentahila (1991)"
"110","Birkeland, 1940. Altarabische pausalformen.md","Arabic","Classical","Birkeland (1940)"
"111","Birkeland, 1940. Altarabische pausalformen.md","ALT",NA,"Birkeland (1940)"
"112","Birkeland, 1940. Altarabische pausalformen.md","pause",NA,"Birkeland (1940)"
"113","Blake, 1994. Case.md","syntax",NA,"Blake (1994)"
"114","Blake, 1994. Case.md","morphology",NA,"Blake (1994)"
"115","Blake, 1994. Case.md","textbook",NA,"Blake (1994)"
"116","Blanc, 1964. Stylistic Variation in Spoken Arabic.md","diglossia",NA,"Blanc (1964)"
"117","Blanc, 1964. Stylistic Variation in Spoken Arabic.md","Arabic",NA,"Blanc (1964)"
"118","Blanc, 1964. Stylistic Variation in Spoken Arabic.md","speech",NA,"Blanc (1964)"
"119","Blau, 1973. Remarks on some syntactic trends in Modern Standard Arabic.md","ALT",NA,"Blau (1973)"
"120","Blau, 1973. Remarks on some syntactic trends in Modern Standard Arabic.md","Arabic","Standard","Blau (1973)"
"121","Blau, 1981. The Renaissance of modern Hebrew and modern standard Arabic.md","Arabic","Standard","Blau (1981)"
"122","Blau, 1981. The Renaissance of modern Hebrew and modern standard Arabic.md","icraab",NA,"Blau (1981)"
"123","Blau, 1999. The Emergence and Linguistic Background of Judaeo-Arabic.md","Arabic",NA,"Blau (1999)"
"124","Blommert, 2006. Language Policy and National Identity.md","language-ideology",NA,"Blommert (2006)"
"125","Bohas, 1990. The Arabic Linguistic Tradition.md","ALT",NA,"Bohas (1990)"
"126","Bohas, 1990. The Arabic Linguistic Tradition.md","Arabic",NA,"Bohas (1990)"
"127","Boudelaa, 2010. Aralex - A lexical database for Modern Standard Arabic.md","Arabic","Standard","Boudelaa (2010)"
"128","Boudelaa, 2010. Aralex - A lexical database for Modern Standard Arabic.md","lexicon",NA,"Boudelaa (2010)"
"129","Boudelaa, 2010. Aralex - A lexical database for Modern Standard Arabic.md","corpus-linguistics",NA,"Boudelaa (2010)"
"130","Braze, 2002. Readers’ Eye Movements Distinguish Anomalies of Form and Content.md","eye-tracking",NA,"Braze (2002)"
"131","Braze, 2002. Readers’ Eye Movements Distinguish Anomalies of Form and Content.md","reading",NA,"Braze (2002)"
"132","Braze, 2002. Readers’ Eye Movements Distinguish Anomalies of Form and Content.md","syntax",NA,"Braze (2002)"
"133","Bucholz, 2001. The Whiteness of Nerds - Superstandard English and Racial Markedness.md","standard-language",NA,"Bucholz (2001)"
"134","Bucholz, 2001. The Whiteness of Nerds - Superstandard English and Racial Markedness.md","English",NA,"Bucholz (2001)"
"135","Buckwalter, 2007. Issues in Arabic Morphological Analysis.md","Arabic",NA,"Buckwalter (2007)"
"136","Buckwalter, 2007. Issues in Arabic Morphological Analysis.md","orthography",NA,"Buckwalter (2007)"
"137","Buckwalter, 2007. Issues in Arabic Morphological Analysis.md","CMC",NA,"Buckwalter (2007)"
"138","Buckwalter, 2007. Issues in Arabic Morphological Analysis.md","corpus-linguistics",NA,"Buckwalter (2007)"
"139","Cabo, 2012. The (Il)Logical Problem of Heritage Speaker Bilingualism and Incomplete Acquisition.md","heritage-speakers",NA,"Cabo (2012)"
"140","Carter, 1985. When did the Arabic word NAḤW come to denote grammar?.md","ALT",NA,"Carter (1985)"
"141","Carter, 1985. When did the Arabic word NAḤW come to denote grammar?.md","Arabic",NA,"Carter (1985)"
"142","Carter, 1999. Standard Grammars, Spoken Grammars - some educational implications.md","standard-language",NA,"Carter (1999)"
"143","Carter, 1999. Standard Grammars, Spoken Grammars - some educational implications.md","English",NA,"Carter (1999)"
"144","Carter, 2006. Grammatical Tradition - History.md","ALT",NA,"Carter (2006)"
"145","Carter, 2006. Grammatical Tradition - History.md","Arabic",NA,"Carter (2006)"
"146","Chahine, 2012. Reading Arabic.md","eye-tracking",NA,"Chahine (2012)"
"147","Chahine, 2012. Reading Arabic.md","reading",NA,"Chahine (2012)"
"148","Chahine, 2012. Reading Arabic.md","typography",NA,"Chahine (2012)"
"149","Chahine, 2012. Reading Arabic.md","orthography",NA,"Chahine (2012)"
"150","Chahine, 2012. Reading Arabic.md","Arabic",NA,"Chahine (2012)"
"151","Chambers, 1997. What do we mean by fluency?.md","speech",NA,"Chambers (1997)"
"152","Chambers, 1997. What do we mean by fluency?.md","prosody",NA,"Chambers (1997)"
"153","Chambers, 1997. What do we mean by fluency?.md","pause",NA,"Chambers (1997)"
"154","Chejne, 1969. The Arabic Language.md","icraab",NA,"Chejne (1969)"
"155","Chejne, 1969. The Arabic Language.md","Arabic",NA,"Chejne (1969)"
"156","Chejne, 1969. The Arabic Language.md","language-planning",NA,"Chejne (1969)"
"157","Clifton, 2007. Eye movements in reading words and sentences.md","eye-tracking",NA,"Clifton (2007)"
"158","Clifton, 2007. Eye movements in reading words and sentences.md","reading",NA,"Clifton (2007)"
"159","Clifton, 2007. Eye movements in reading words and sentences.md","syntax",NA,"Clifton (2007)"
"160","Clifton, 2007. Eye movements in reading words and sentences.md","review-article",NA,"Clifton (2007)"
"161","Cobo, 2012. The (Il)Logical Problem of Heritage Speaker Bilingualism and Incomplete Acquisition.md","heritage-speakers",NA,"Cobo (2012)"
"162","Corriente, 1971. On the Functional Yield of Some Synthetic Devices in Arabic and Semitic Morphology.md","Arabic","Standard","Corriente (1971)"
"163","Corriente, 1971. On the Functional Yield of Some Synthetic Devices in Arabic and Semitic Morphology.md","case",NA,"Corriente (1971)"
"164","Corriente, 1971. On the Functional Yield of Some Synthetic Devices in Arabic and Semitic Morphology.md","icraab",NA,"Corriente (1971)"
"165","Corriente, 1975. Again on the Functional Yield.md","Arabic",NA,"Corriente (1975)"
"166","Corriente, 1975. Again on the Functional Yield.md","case",NA,"Corriente (1975)"
"167","Corriente, 1975. Again on the Functional Yield.md","icraab",NA,"Corriente (1975)"
"168","Coulmas, 1989. The writing systems of the world.md","reading",NA,"Coulmas (1989)"
"169","Coulmas, 1989. The writing systems of the world.md","textbook",NA,"Coulmas (1989)"
"170","Cowell, 2005. A Reference Grammar of Syrian Arabic.md","prosody",NA,"Cowell (2005)"
"171","Cowell, 2005. A Reference Grammar of Syrian Arabic.md","Arabic","Syrian","Cowell (2005)"
"172","Curzan, 2014. Fixing English.md","English",NA,"Curzan (2014)"
"173","Curzan, 2014. Fixing English.md","standard-language",NA,"Curzan (2014)"
"174","Curzan, 2014. Fixing English.md","language-ideology",NA,"Curzan (2014)"
"175","Curzan, 2014. Fixing English.md","language-planning",NA,"Curzan (2014)"
"176","Daher, 1999. (ϴ) and (ð) as ternary and binary variables in Damascene Arabic.md","sociolinguistics",NA,"Daher (1999)"
"177","Daher, 1999. (ϴ) and (ð) as ternary and binary variables in Damascene Arabic.md","Arabic","Standard","Daher (1999)"
"178","Daher, 1999. (ϴ) and (ð) as ternary and binary variables in Damascene Arabic.md","Arabic","Syrian","Daher (1999)"
"179","Dakwar, 2005. Children’s attitudes towards the diglossic situation in Arabic and its impact on learning.md","literacy",NA,"Dakwar (2005)"
"180","Dakwar, 2005. Children’s attitudes towards the diglossic situation in Arabic and its impact on learning.md","language-instruction",NA,"Dakwar (2005)"
"181","Dakwar, 2005. Children’s attitudes towards the diglossic situation in Arabic and its impact on learning.md","FLA",NA,"Dakwar (2005)"
"182","Dakwar, 2005. Children’s attitudes towards the diglossic situation in Arabic and its impact on learning.md","diglossia",NA,"Dakwar (2005)"
"183","Dakwar, 2005. Children’s attitudes towards the diglossic situation in Arabic and its impact on learning.md","Arabic",NA,"Dakwar (2005)"
"184","Dank, 2015. Resolving conflicts in natural and grammatical gender agreement.md","eye-tracking",NA,"Dank (2015)"
"185","Dank, 2015. Resolving conflicts in natural and grammatical gender agreement.md","reading",NA,"Dank (2015)"
"186","Dank, 2015. Resolving conflicts in natural and grammatical gender agreement.md","syntax",NA,"Dank (2015)"
"187","Davies, 1987. A contrastive approach to the analysis of politeness formulas.md","Arabic",NA,"Davies (1987)"
"188","Davies, 1987. A contrastive approach to the analysis of politeness formulas.md","pragmatics",NA,"Davies (1987)"
"189","Davies, 1987. A contrastive approach to the analysis of politeness formulas.md","language-instruction",NA,"Davies (1987)"
"190","Davies, 1987. A contrastive approach to the analysis of politeness formulas.md","SLA",NA,"Davies (1987)"
"191","Davies, 2013. Codeswitching and Related Issues Involving Arabic.md","code-switching",NA,"Davies (2013)"
"192","Davies, 2013. Codeswitching and Related Issues Involving Arabic.md","Arabic",NA,"Davies (2013)"
"193","Davies, 2013. Codeswitching and Related Issues Involving Arabic.md","diglossia",NA,"Davies (2013)"
"194","Davis, 2001. Arabic Hypocoristics and the Status of the Consonantal Root.md","Arabic",NA,"Davis (2001)"
"195","Davis, 2001. Arabic Hypocoristics and the Status of the Consonantal Root.md","morphology",NA,"Davis (2001)"
"196","Deutsch, 2001. Syntactic and Semantic Factors in Processing Gender Agreement in Hebrew.md","eye-tracking",NA,"Deutsch (2001)"
"197","Deutsch, 2001. Syntactic and Semantic Factors in Processing Gender Agreement in Hebrew.md","reading",NA,"Deutsch (2001)"
"198","Deutsch, 2001. Syntactic and Semantic Factors in Processing Gender Agreement in Hebrew.md","syntax",NA,"Deutsch (2001)"
"199","Diem, 1974. Hochsprache und Dialekt im Arabischen.md","diglossia",NA,"Diem (1974)"
"200","Diem, 1974. Hochsprache und Dialekt im Arabischen.md","Arabic",NA,"Diem (1974)"
"201","Diem, 1974. Hochsprache und Dialekt im Arabischen.md","language-planning",NA,"Diem (1974)"
"202","Diem, 1974. Hochsprache und Dialekt im Arabischen.md","language-ideology",NA,"Diem (1974)"
"203","Dévényi, 2006. Iʿrāb.md","Arabic",NA,"Dévényi (2006)"
"204","Dévényi, 2006. Iʿrāb.md","ALT",NA,"Dévényi (2006)"
"205","Dévényi, 2006. Iʿrāb.md","icraab",NA,"Dévényi (2006)"
"206","Ehri, 2014. Orthographic Mapping in the Acquisition of Sight Word Reading, Spelling Memory, and Vocabulary Learning.md","reading",NA,"Ehri (2014)"
"207","Ehri, 2014. Orthographic Mapping in the Acquisition of Sight Word Reading, Spelling Memory, and Vocabulary Learning.md","FLA",NA,"Ehri (2014)"
"208","Eickelman, 1978. The Art of Memory - Islamic Education and Its Social Reproduction.md","anthropology",NA,"Eickelman (1978)"
"209","Eickelman, 1978. The Art of Memory - Islamic Education and Its Social Reproduction.md","islamology",NA,"Eickelman (1978)"
"210","Eid, 1988. Principles for Code-Switching between Standard and Egyptian Arabic.md","code-switching",NA,"Eid (1988)"
"211","Eid, 1988. Principles for Code-Switching between Standard and Egyptian Arabic.md","diglossia",NA,"Eid (1988)"
"212","Eid, 1988. Principles for Code-Switching between Standard and Egyptian Arabic.md","Arabic",NA,"Eid (1988)"
"213","Eid, 2007. Arabic on the madia - hypridity and styles.md","diglossia",NA,"Eid (2007)"
"214","Eid, 2007. Arabic on the madia - hypridity and styles.md","Arabic","Standard","Eid (2007)"
"215","Eisele, 2002. Approaching Diglossia - Authoritiess, Values, and Representations.md","language-ideology",NA,"Eisele (2002)"
"216","Eisele, 2002. Approaching Diglossia - Authoritiess, Values, and Representations.md","Arabic",NA,"Eisele (2002)"
"217","Eisele, 2003. Myth, values, and practice in the representation of Arabic.md","Arabic",NA,"Eisele (2003)"
"218","Eisele, 2003. Myth, values, and practice in the representation of Arabic.md","language-ideology",NA,"Eisele (2003)"
"219","Eisele, 2018. One path or multiple pats.md","diglossia",NA,"Eisele (2018)"
"220","Eisele, 2018. One path or multiple pats.md","TAFL",NA,"Eisele (2018)"
"221","Eisele, 2018. One path or multiple pats.md","Arabic",NA,"Eisele (2018)"
"222","El-Dash, 1975. Subjective Reactions to Various Speech Styles in Arabic.md","Arabic",NA,"El-Dash (1975)"
"223","El-Dash, 1975. Subjective Reactions to Various Speech Styles in Arabic.md","language-ideology",NA,"El-Dash (1975)"
"224","El-Hassan, 1977. “Educated Spoken Arabic in Egypt and the Levant.md","diglossia",NA,"El-Hassan (1977)"
"225","El-Hassan, 1977. “Educated Spoken Arabic in Egypt and the Levant.md","Arabic",NA,"El-Hassan (1977)"
"226","El-Wer, 2013. Sociolinguistics.md","Arabic",NA,"El-Wer (2013)"
"227","El-Wer, 2013. Sociolinguistics.md","diglossia",NA,"El-Wer (2013)"
"228","El-Wer, 2013. Sociolinguistics.md","sociolinguistics",NA,"El-Wer (2013)"
"229","Elgibali, 1985. Towards a sociolinguistic analysis of language variation in Arabic.md","diglossia",NA,"Elgibali (1985)"
"230","Elgibali, 1985. Towards a sociolinguistic analysis of language variation in Arabic.md","Arabic",NA,"Elgibali (1985)"
"231","Ferguson, 1959. Diglossia.md","diglossia",NA,"Ferguson (1959)"
"232","Ferguson, 1959. Diglossia.md","Arabic",NA,"Ferguson (1959)"
"233","Ferguson, 1959. Myths about Arabic.md","Arabic",NA,"Ferguson (1959)"
"234","Ferguson, 1959. Myths about Arabic.md","language-ideology",NA,"Ferguson (1959)"
"235","Ferguson, 1959. The Arabic Koine.md","Arabic",NA,"Ferguson (1959)"
"236","Ferguson, 1959. The Arabic Koine.md","historical-linguistics",NA,"Ferguson (1959)"
"237","Ferguson, 1976. The structure and use of politeness formulas.md","pragmatics",NA,"Ferguson (1976)"
"238","Ferguson, 1996. Epilogue - Diglossia Revisited.md","diglossia",NA,"Ferguson (1996)"
"239","Ferguson, 1997. Arabic baby talk.md","Arabic",NA,"Ferguson (1997)"
"240","Ferguson, 1997. Arabic baby talk.md","pragmatics",NA,"Ferguson (1997)"
"241","Ferguson, 1997. Root-echo responses in Syrian Arabic politeness formulas.md","Arabic",NA,"Ferguson (1997)"
"242","Ferguson, 1997. Root-echo responses in Syrian Arabic politeness formulas.md","pragmatics",NA,"Ferguson (1997)"
"243","Ferguson, 1997. Standardization as a form of language spread.md","standard-language",NA,"Ferguson (1997)"
"244","Ferguson, 1997. Standardization as a form of language spread.md","historical-linguistics",NA,"Ferguson (1997)"
"245","Fisher, 1996. The Emergence of Standard English.md","standard-language",NA,"Fisher (1996)"
"246","Fisher, 1996. The Emergence of Standard English.md","historical-linguistics",NA,"Fisher (1996)"
"247","Fisher, 1996. The Emergence of Standard English.md","English",NA,"Fisher (1996)"
"248","Fleisch, 2006. Iʿrāb.md","icraab",NA,"Fleisch (2006)"
"249","Fleisch, 2006. Iʿrāb.md","Arabic",NA,"Fleisch (2006)"
"250","Forkel, 1980. Die sprachliche Situation im heutigen Marokko.md","diglossia",NA,"Forkel (1980)"
"251","Forkel, 1980. Die sprachliche Situation im heutigen Marokko.md","Arabic",NA,"Forkel (1980)"
"252","Forkel, 1980. Die sprachliche Situation im heutigen Marokko.md","language-ideology",NA,"Forkel (1980)"
"253","Forkel, 1980. Die sprachliche Situation im heutigen Marokko.md","Morocco",NA,"Forkel (1980)"
"254","Frasier, 1982. Making and correcting errors during sentence comprehension.md","eye-tracking",NA,"Frasier (1982)"
"255","Frasier, 1982. Making and correcting errors during sentence comprehension.md","reading",NA,"Frasier (1982)"
"256","Frasier, 1982. Making and correcting errors during sentence comprehension.md","syntax",NA,"Frasier (1982)"
"257","Frost, 2008. Toward a strong phonological theory of visual word recognition.md","reading",NA,"Frost (2008)"
"258","Frost, 2008. Toward a strong phonological theory of visual word recognition.md","lexicon",NA,"Frost (2008)"
